text,condition,record_type,Care_Profile
"My puppy seems to have a sensitive stomach, gets diarrhea easily.",Digestive Issues,Owner Observation,my puppy seems to have a sensitive stomach gets diarrhea easily digestive issues owner observation
"Mild weight-bearing lameness RF (Grade 2/5), worse after rest.",Mobility Problems,Clinical Notes,mild weightbearing lameness rf grade worse after rest mobility problems clinical notes
My cat's ear infection is resistant to multiple antibiotics.,Ear Infections,Owner Observation,my cats ear infection is resistant to multiple antibiotics ear infections owner observation
Cheyletiella mites ('walking dandruff') identified on surface tape prep.,Skin Irritations,Clinical Notes,cheyletiella mites walking dandruff identified on surface tape prep skin irritations clinical notes
Cat developed sudden loss of balance and circling.,Ear Infections,Owner Observation,cat developed sudden loss of balance and circling ear infections owner observation
Trial of amantadine added to NSAID/gabapentin for refractory OA pain (NMDA receptor antagonist).,Mobility Problems,Clinical Notes,trial of amantadine added to nsaidgabapentin for refractory oa pain nmda receptor antagonist mobility problems clinical notes
Administer Capstar (nitenpyram) for rapid flea kill.,Parasites,Clinical Notes,administer capstar nitenpyram for rapid flea kill parasites clinical notes
"My dog has scabies, and now I'm itchy too!",Parasites,Owner Observation,my dog has scabies and now im itchy too parasites owner observation
"Dog ate grapes off the counter, now vomiting.",Digestive Issues,Owner Observation,dog ate grapes off the counter now vomiting digestive issues owner observation
"Dog has oily, smelly skin, especially along the back.",Skin Irritations,Owner Observation,dog has oily smelly skin especially along the back skin irritations owner observation
Check FeLV/FIV status in cats with demodicosis.,Parasites,Clinical Notes,check felvfiv status in cats with demodicosis parasites clinical notes
Continue treatment for 7 days past clinical resolution.,Ear Infections,Clinical Notes,continue treatment for days past clinical resolution ear infections clinical notes
My dog's ear infections are a chronic problem requiring ongoing care.,Ear Infections,Owner Observation,my dogs ear infections are a chronic problem requiring ongoing care ear infections owner observation
Proglottids consistent with Dipylidium caninum identified on perineal fur. Recommend concurrent flea treatment.,Parasites,Clinical Notes,proglottids consistent with dipylidium caninum identified on perineal fur recommend concurrent flea treatment parasites clinical notes
Cat's ear canal looks very narrow.,Ear Infections,Owner Observation,cats ear canal looks very narrow ear infections owner observation
Discuss Adequan (polysulfated glycosaminoglycan) injections for OA management.,Mobility Problems,Clinical Notes,discuss adequan polysulfated glycosaminoglycan injections for oa management mobility problems clinical notes
My dog contracted Babesia from a tick.,Parasites,Owner Observation,my dog contracted babesia from a tick parasites owner observation
Rabbit has E. cuniculi infection causing neurological/mobility issues.,Mobility Problems,Owner Observation,rabbit has e cuniculi infection causing neurologicalmobility issues mobility problems owner observation
Recheck scheduled in 2-3 weeks to assess response to therapy.,Skin Irritations,Clinical Notes,recheck scheduled in weeks to assess response to therapy skin irritations clinical notes
Administer gabapentin or amantadine for neuropathic pain/chronic OA pain.,Mobility Problems,Clinical Notes,administer gabapentin or amantadine for neuropathic painchronic oa pain mobility problems clinical notes
"My dog suddenly couldn't stand up this morning, crying in pain.",Mobility Problems,Owner Observation,my dog suddenly couldnt stand up this morning crying in pain mobility problems owner observation
Schedule follow-up appointment or phone call.,Digestive Issues,Clinical Notes,schedule followup appointment or phone call digestive issues clinical notes
Rule out parasites as a cause of chronic GI or skin condition.,Parasites,Clinical Notes,rule out parasites as a cause of chronic gi or skin condition parasites clinical notes
Administer praziquantel for tapeworm treatment.,Parasites,Clinical Notes,administer praziquantel for tapeworm treatment parasites clinical notes
Cat reacted painfully when the vet extended her hind legs.,Mobility Problems,Owner Observation,cat reacted painfully when the vet extended her hind legs mobility problems owner observation
Allergic shiners (darkening around eyes) noted in atopic dog.,Skin Irritations,Clinical Notes,allergic shiners darkening around eyes noted in atopic dog skin irritations clinical notes
"Systemic antifungals (e.g., ketoconazole, itraconazole) may be needed for resistant Malassezia.",Ear Infections,Clinical Notes,systemic antifungals eg ketoconazole itraconazole may be needed for resistant malassezia ear infections clinical notes
"My cat only poops every 3-4 days, and the stool is very hard.",Digestive Issues,Owner Observation,my cat only poops every days and the stool is very hard digestive issues owner observation
"Treat ear mites with topical acaricide (e.g., selamectin, moxidectin). Clean ears prior to treatment.",Parasites,Clinical Notes,treat ear mites with topical acaricide eg selamectin moxidectin clean ears prior to treatment parasites clinical notes
Suspect supraspinatus tendinopathy; diagnostic musculoskeletal ultrasound recommended.,Mobility Problems,Clinical Notes,suspect supraspinatus tendinopathy diagnostic musculoskeletal ultrasound recommended mobility problems clinical notes
Culture results: Pseudomonas aeruginosa resistant to multiple antibiotics; consult sensitivity report.,Skin Irritations,Clinical Notes,culture results pseudomonas aeruginosa resistant to multiple antibiotics consult sensitivity report skin irritations clinical notes
Guinea pig has flaky skin around its eyes.,Skin Irritations,Owner Observation,guinea pig has flaky skin around its eyes skin irritations owner observation
Vasculitis causing ear tip necrosis; investigate underlying cause.,Skin Irritations,Clinical Notes,vasculitis causing ear tip necrosis investigate underlying cause skin irritations clinical notes
Schedule recheck based on severity and treatment plan.,Ear Infections,Clinical Notes,schedule recheck based on severity and treatment plan ear infections clinical notes
Post-operative care instructions provided for aural hematoma repair.,Ear Infections,Clinical Notes,postoperative care instructions provided for aural hematoma repair ear infections clinical notes
My budgie has crusty growths around its beak and legs.,Parasites,Owner Observation,my budgie has crusty growths around its beak and legs parasites owner observation
My cat has developed small scabs scattered throughout her coat.,Skin Irritations,Owner Observation,my cat has developed small scabs scattered throughout her coat skin irritations owner observation
Eosinophilic plaque identified on feline abdomen; consider allergy vs. parasitic cause. Cytology performed.,Skin Irritations,Clinical Notes,eosinophilic plaque identified on feline abdomen consider allergy vs parasitic cause cytology performed skin irritations clinical notes
"Cat's claws seem overgrown, maybe not scratching post due to pain.",Mobility Problems,Owner Observation,cats claws seem overgrown maybe not scratching post due to pain mobility problems owner observation
My rabbit stopped eating hay and seems lethargic.,Digestive Issues,Owner Observation,my rabbit stopped eating hay and seems lethargic digestive issues owner observation
Vertical ear canal ablation (VECA) performed.,Ear Infections,Clinical Notes,vertical ear canal ablation veca performed ear infections clinical notes
Cat developed arthritis in her elbow after an old fracture.,Mobility Problems,Owner Observation,cat developed arthritis in her elbow after an old fracture mobility problems owner observation
Perform ACTH stimulation test to rule out Addison's.,Digestive Issues,Clinical Notes,perform acth stimulation test to rule out addisons digestive issues clinical notes
"Wet tail (proliferative ileitis) in hamster; guarded prognosis. Initiate supportive care (fluids, antibiotics, heat).",Digestive Issues,Clinical Notes,wet tail proliferative ileitis in hamster guarded prognosis initiate supportive care fluids antibiotics heat digestive issues clinical notes
Seborrheic patches on belly; antifungal treatment started.,Skin Irritations,Clinical Notes,seborrheic patches on belly antifungal treatment started skin irritations clinical notes
"Dog's limp is barely noticeable after warming up, but bad when first rising.",Mobility Problems,Owner Observation,dogs limp is barely noticeable after warming up but bad when first rising mobility problems owner observation
Lameness with pain; rule out bone tumor.,Mobility Problems,Clinical Notes,lameness with pain rule out bone tumor mobility problems clinical notes
Dog is licking the air and swallowing repeatedly.,Digestive Issues,Owner Observation,dog is licking the air and swallowing repeatedly digestive issues owner observation
Acetate tape preparation reveals Cheyletiella spp. mites ('walking dandruff').,Parasites,Clinical Notes,acetate tape preparation reveals cheyletiella spp mites walking dandruff parasites clinical notes
Ferret is vomiting undigested food shortly after eating.,Digestive Issues,Owner Observation,ferret is vomiting undigested food shortly after eating digestive issues owner observation
Cat cries out when I pick her up around her hips.,Mobility Problems,Owner Observation,cat cries out when i pick her up around her hips mobility problems owner observation
"If FAD suspected, ensure effective flea control product is being used correctly.",Skin Irritations,Clinical Notes,if fad suspected ensure effective flea control product is being used correctly skin irritations clinical notes
Nasopharyngeal polyp visualized extending into external ear canal in young cat.,Ear Infections,Clinical Notes,nasopharyngeal polyp visualized extending into external ear canal in young cat ear infections clinical notes
My ferret shakes its head after cleaning.,Ear Infections,Owner Observation,my ferret shakes its head after cleaning ear infections owner observation
Puppy has moisture in his ears after playing in water.,Ear Infections,Owner Observation,puppy has moisture in his ears after playing in water ear infections owner observation
Lichenification and hyperpigmentation in axillary regions; chronic allergic skin condition likely.,Skin Irritations,Clinical Notes,lichenification and hyperpigmentation in axillary regions chronic allergic skin condition likely skin irritations clinical notes
Ear infection with swelling; start combo drops.,Ear Infections,Clinical Notes,ear infection with swelling start combo drops ear infections clinical notes
My dog has osteosarcoma (bone cancer).,Mobility Problems,Owner Observation,my dog has osteosarcoma bone cancer mobility problems owner observation
"Hygroma noted on elbow; advise padded bedding, monitor for infection.",Skin Irritations,Clinical Notes,hygroma noted on elbow advise padded bedding monitor for infection skin irritations clinical notes
"Document degree of stenosis, erythema, ulceration, and nature of discharge.",Ear Infections,Clinical Notes,document degree of stenosis erythema ulceration and nature of discharge ear infections clinical notes
The skin inside my dog's ears looks red and inflamed.,Ear Infections,Owner Observation,the skin inside my dogs ears looks red and inflamed ear infections owner observation
Ferret suddenly became paralyzed in the back legs.,Mobility Problems,Owner Observation,ferret suddenly became paralyzed in the back legs mobility problems owner observation
Dog is retching forcefully but producing nothing.,Digestive Issues,Owner Observation,dog is retching forcefully but producing nothing digestive issues owner observation
Rabbit is scratching the base of its ears.,Ear Infections,Owner Observation,rabbit is scratching the base of its ears ear infections owner observation
Rabbit is dragging one of its back legs.,Mobility Problems,Owner Observation,rabbit is dragging one of its back legs mobility problems owner observation
Dog has developed resistance to several types of ear drops.,Ear Infections,Owner Observation,dog has developed resistance to several types of ear drops ear infections owner observation
"Superficial pyoderma characterized by papules, pustules, and epidermal collarettes on ventral abdomen.",Skin Irritations,Clinical Notes,superficial pyoderma characterized by papules pustules and epidermal collarettes on ventral abdomen skin irritations clinical notes
Fecal transplant considered for refractory Clostridium difficile.,Digestive Issues,Clinical Notes,fecal transplant considered for refractory clostridium difficile digestive issues clinical notes
"Discuss underlying causes (allergies, conformation, moisture) and long-term management.",Ear Infections,Clinical Notes,discuss underlying causes allergies conformation moisture and longterm management ear infections clinical notes
Puppy walks with a 'bunny hop' gait.,Mobility Problems,Owner Observation,puppy walks with a bunny hop gait mobility problems owner observation
My guinea pig is losing hair symmetrically on both sides.,Skin Irritations,Owner Observation,my guinea pig is losing hair symmetrically on both sides skin irritations owner observation
"E. cuniculi suspected in rabbit with head tilt, ataxia, or hind limb paresis; treat with fenbendazole.",Mobility Problems,Clinical Notes,e cuniculi suspected in rabbit with head tilt ataxia or hind limb paresis treat with fenbendazole mobility problems clinical notes
Consider trial of pro-motility agent (metoclopramide or cisapride) for suspected gastric hypomotility.,Digestive Issues,Clinical Notes,consider trial of promotility agent metoclopramide or cisapride for suspected gastric hypomotility digestive issues clinical notes
Schedule recheck appointment in 1-2 weeks to assess initial response to pain medication.,Mobility Problems,Clinical Notes,schedule recheck appointment in weeks to assess initial response to pain medication mobility problems clinical notes
Immune-mediated polyarthritis suspected based on multiple joint effusions and fever.,Mobility Problems,Clinical Notes,immunemediated polyarthritis suspected based on multiple joint effusions and fever mobility problems clinical notes
Recommend weight loss program; current BCS 7/9. Target BCS 5/9.,Mobility Problems,Clinical Notes,recommend weight loss program current bcs target bcs mobility problems clinical notes
Check for concurrent infections in immunocompromised animals.,Parasites,Clinical Notes,check for concurrent infections in immunocompromised animals parasites clinical notes
"Supportive care for pancreatitis: IV fluids, pain management (buprenorphine), anti-emetics, NPO initially.",Digestive Issues,Clinical Notes,supportive care for pancreatitis iv fluids pain management buprenorphine antiemetics npo initially digestive issues clinical notes
"Rule out systemic illness (e.g., fever, infection, metabolic condition) causing generalized weakness or lethargy.",Mobility Problems,Clinical Notes,rule out systemic illness eg fever infection metabolic condition causing generalized weakness or lethargy mobility problems clinical notes
Video demonstration of ear cleaning provided to owner.,Ear Infections,Clinical Notes,video demonstration of ear cleaning provided to owner ear infections clinical notes
Ferret is shaking its head due to ear mite irritation.,Parasites,Owner Observation,ferret is shaking its head due to ear mite irritation parasites owner observation
Discuss risk of parasite exchange between different pet species in the household.,Parasites,Clinical Notes,discuss risk of parasite exchange between different pet species in the household parasites clinical notes
Provide estimate for diagnostic workup and treatment.,Skin Irritations,Clinical Notes,provide estimate for diagnostic workup and treatment skin irritations clinical notes
"Dog has developed moist, red patches under his collar.",Skin Irritations,Owner Observation,dog has developed moist red patches under his collar skin irritations owner observation
My rabbit has developed a large abscess under its chin.,Skin Irritations,Owner Observation,my rabbit has developed a large abscess under its chin skin irritations owner observation
My rabbit has discharge from its eye on the same side as the droopy ear.,Ear Infections,Owner Observation,my rabbit has discharge from its eye on the same side as the droopy ear ear infections owner observation
"My cat brings food back up almost immediately after eating, looks undigested.",Digestive Issues,Owner Observation,my cat brings food back up almost immediately after eating looks undigested digestive issues owner observation
My guinea pig has sores on the bottoms of its feet.,Skin Irritations,Owner Observation,my guinea pig has sores on the bottoms of its feet skin irritations owner observation
Pruritic lesions on tail; anti-itch spray prescribed.,Skin Irritations,Clinical Notes,pruritic lesions on tail antiitch spray prescribed skin irritations clinical notes
Radiographs show colon filled with large amount of inspissated feces; consistent with megacolon.,Digestive Issues,Clinical Notes,radiographs show colon filled with large amount of inspissated feces consistent with megacolon digestive issues clinical notes
"Guinea pig seems lethargic and thin, maybe internal parasites?",Parasites,Owner Observation,guinea pig seems lethargic and thin maybe internal parasites parasites owner observation
Assess panniculus reflex and deep pain sensation to localize spinal cord lesion.,Mobility Problems,Clinical Notes,assess panniculus reflex and deep pain sensation to localize spinal cord lesion mobility problems clinical notes
"Dog has thickened, rough skin inside the ear canal (cobblestone appearance).",Ear Infections,Owner Observation,dog has thickened rough skin inside the ear canal cobblestone appearance ear infections owner observation
My rabbit caught fleas from our dog.,Parasites,Owner Observation,my rabbit caught fleas from our dog parasites owner observation
"My cat has what looks like dandruff, but it moves.",Skin Irritations,Owner Observation,my cat has what looks like dandruff but it moves skin irritations owner observation
Recheck appointment scheduled to monitor progress.,Skin Irritations,Clinical Notes,recheck appointment scheduled to monitor progress skin irritations clinical notes
Ensure prescribed volume of medication is sufficient to coat the entire ear canal.,Ear Infections,Clinical Notes,ensure prescribed volume of medication is sufficient to coat the entire ear canal ear infections clinical notes
Thoracic radiographs taken to screen for metastasis prior to amputation.,Mobility Problems,Clinical Notes,thoracic radiographs taken to screen for metastasis prior to amputation mobility problems clinical notes
"Discuss zoonotic potential of Salmonella, Campylobacter, Giardia, Toxocara.",Digestive Issues,Clinical Notes,discuss zoonotic potential of salmonella campylobacter giardia toxocara digestive issues clinical notes
Avascular necrosis of the femoral head (LCPD) confirmed radiographically. FHO surgery recommended.,Mobility Problems,Clinical Notes,avascular necrosis of the femoral head lcpd confirmed radiographically fho surgery recommended mobility problems clinical notes
"Multiple alopecic, scaling patches present; Wood's lamp negative, fungal culture pending for dermatophytosis.",Skin Irritations,Clinical Notes,multiple alopecic scaling patches present woods lamp negative fungal culture pending for dermatophytosis skin irritations clinical notes
"Perianal pruritus and erythema; anal sacs expressed (moderate amount, normal consistency), check for tapeworms/allergies.",Skin Irritations,Clinical Notes,perianal pruritus and erythema anal sacs expressed moderate amount normal consistency check for tapewormsallergies skin irritations clinical notes
"Fecal flotation positive for Trichuris vulpis eggs (+). Requires specific deworming protocol (e.g., fenbendazole x 3 days, repeat).",Parasites,Clinical Notes,fecal flotation positive for trichuris vulpis eggs requires specific deworming protocol eg fenbendazole x days repeat parasites clinical notes
"Guinea pig is staying in one corner of the cage, not exploring.",Mobility Problems,Owner Observation,guinea pig is staying in one corner of the cage not exploring mobility problems owner observation
Blood in stool; rule out ulceration.,Digestive Issues,Clinical Notes,blood in stool rule out ulceration digestive issues clinical notes
"Cat is scratching her neck raw, right where the collar sits.",Skin Irritations,Owner Observation,cat is scratching her neck raw right where the collar sits skin irritations owner observation
Guinea pig has vitamin C deficiency (scurvy) causing joint pain.,Mobility Problems,Owner Observation,guinea pig has vitamin c deficiency scurvy causing joint pain mobility problems owner observation
Cat has sores on her lips and tongue.,Skin Irritations,Owner Observation,cat has sores on her lips and tongue skin irritations owner observation
Cat has scratches and scabs around her ears from scratching.,Ear Infections,Owner Observation,cat has scratches and scabs around her ears from scratching ear infections owner observation
My dog has exercise-induced weakness due to myasthenia gravis.,Mobility Problems,Owner Observation,my dog has exerciseinduced weakness due to myasthenia gravis mobility problems owner observation
My cat has been hiding under the bed and won't eat.,Digestive Issues,Owner Observation,my cat has been hiding under the bed and wont eat digestive issues owner observation
Erythema and scaling on paws; soak and medicate.,Skin Irritations,Clinical Notes,erythema and scaling on paws soak and medicate skin irritations clinical notes
My dog has panosteitis (growing pains).,Mobility Problems,Owner Observation,my dog has panosteitis growing pains mobility problems owner observation
My cat has fleas even though she's an indoor cat.,Parasites,Owner Observation,my cat has fleas even though shes an indoor cat parasites owner observation
My dog has severe hip dysplasia confirmed by x-rays.,Mobility Problems,Owner Observation,my dog has severe hip dysplasia confirmed by xrays mobility problems owner observation
My dog has flaky skin along his spine.,Parasites,Owner Observation,my dog has flaky skin along his spine parasites owner observation
Azotemia present (elevated BUN/Creatinine); differentiate pre-renal vs. renal vs. post-renal causes. Urinalysis needed.,Digestive Issues,Clinical Notes,azotemia present elevated buncreatinine differentiate prerenal vs renal vs postrenal causes urinalysis needed digestive issues clinical notes
My rabbit has 'walking dandruff' mites (Cheyletiella).,Parasites,Owner Observation,my rabbit has walking dandruff mites cheyletiella parasites owner observation
Kitten has Coccidia causing bloody diarrhea.,Parasites,Owner Observation,kitten has coccidia causing bloody diarrhea parasites owner observation
My dog keeps shaking his head violently and scratching at his right ear.,Ear Infections,Owner Observation,my dog keeps shaking his head violently and scratching at his right ear ear infections owner observation
"My puppy is having diarrhea accidents inside, seems urgent.",Digestive Issues,Owner Observation,my puppy is having diarrhea accidents inside seems urgent digestive issues owner observation
"Dog has greasy, pale, voluminous stools.",Digestive Issues,Owner Observation,dog has greasy pale voluminous stools digestive issues owner observation
Abdominal palpation reveals mild discomfort; no obvious foreign body palpated.,Digestive Issues,Clinical Notes,abdominal palpation reveals mild discomfort no obvious foreign body palpated digestive issues clinical notes
Cat is sensitive to noises.,Ear Infections,Owner Observation,cat is sensitive to noises ear infections owner observation
Feline psychogenic alopecia suspected; rule out medical causes of pruritus first.,Skin Irritations,Clinical Notes,feline psychogenic alopecia suspected rule out medical causes of pruritus first skin irritations clinical notes
"Guinea pig is limping, possibly due to lack of Vitamin C.",Mobility Problems,Owner Observation,guinea pig is limping possibly due to lack of vitamin c mobility problems owner observation
Alopecia and redness on tail; rule out psychogenic causes.,Skin Irritations,Clinical Notes,alopecia and redness on tail rule out psychogenic causes skin irritations clinical notes
Puppy is small for his age and has chronic soft stools.,Digestive Issues,Owner Observation,puppy is small for his age and has chronic soft stools digestive issues owner observation
Rabbit is holding its head tilted and seems unbalanced.,Mobility Problems,Owner Observation,rabbit is holding its head tilted and seems unbalanced mobility problems owner observation
Provide client education handout on managing allergic dermatitis.,Skin Irritations,Clinical Notes,provide client education handout on managing allergic dermatitis skin irritations clinical notes
Initiate course of Adequan (PSGAG) injections.,Mobility Problems,Clinical Notes,initiate course of adequan psgag injections mobility problems clinical notes
My cat has vomited several times today and is now hiding.,Digestive Issues,Owner Observation,my cat has vomited several times today and is now hiding digestive issues owner observation
Recheck skin scrapes monthly during Demodex treatment until two consecutive negative scrapes.,Parasites,Clinical Notes,recheck skin scrapes monthly during demodex treatment until two consecutive negative scrapes parasites clinical notes
"My cat has rapid, involuntary eye movements (nystagmus).",Ear Infections,Owner Observation,my cat has rapid involuntary eye movements nystagmus ear infections owner observation
Cat seems deaf in one ear.,Ear Infections,Owner Observation,cat seems deaf in one ear ear infections owner observation
My cat has really bad breath and sometimes vomits yellow foam.,Digestive Issues,Owner Observation,my cat has really bad breath and sometimes vomits yellow foam digestive issues owner observation
Biopsy of mass in ear canal submitted for histopathology.,Ear Infections,Clinical Notes,biopsy of mass in ear canal submitted for histopathology ear infections clinical notes
"Heartworm treatment protocol initiated (doxycycline, preventative, melarsomine injections).",Parasites,Clinical Notes,heartworm treatment protocol initiated doxycycline preventative melarsomine injections parasites clinical notes
Recommend omega-3 fatty acid supplementation to support skin barrier.,Skin Irritations,Clinical Notes,recommend omega fatty acid supplementation to support skin barrier skin irritations clinical notes
"Severe ulcerative pododermatitis (bumblefoot) in guinea pig; debride, bandage, systemic antibiotics, improve husbandry.",Mobility Problems,Clinical Notes,severe ulcerative pododermatitis bumblefoot in guinea pig debride bandage systemic antibiotics improve husbandry mobility problems clinical notes
"Kitten is anemic (pale gums) and lethargic, suspecting heavy flea or worm burden.",Parasites,Owner Observation,kitten is anemic pale gums and lethargic suspecting heavy flea or worm burden parasites owner observation
Rabbit has a fractured leg.,Mobility Problems,Owner Observation,rabbit has a fractured leg mobility problems owner observation
Cytology of ear discharge reveals budding yeast (Malassezia).,Skin Irritations,Clinical Notes,cytology of ear discharge reveals budding yeast malassezia skin irritations clinical notes
Dog is swallowing repeatedly and licking his nose.,Digestive Issues,Owner Observation,dog is swallowing repeatedly and licking his nose digestive issues owner observation
Infraspinatus contracture noted.,Mobility Problems,Clinical Notes,infraspinatus contracture noted mobility problems clinical notes
My dog has developed dark pigmentation on previously pink skin.,Skin Irritations,Owner Observation,my dog has developed dark pigmentation on previously pink skin skin irritations owner observation
My cat vomited pink-tinged fluid.,Digestive Issues,Owner Observation,my cat vomited pinktinged fluid digestive issues owner observation
Modify multimodal pain plan based on patient response and owner feedback.,Mobility Problems,Clinical Notes,modify multimodal pain plan based on patient response and owner feedback mobility problems clinical notes
My dog cries when getting up or lying down.,Mobility Problems,Owner Observation,my dog cries when getting up or lying down mobility problems owner observation
Re-examine tympanic membrane after initial treatment and cleaning to assess integrity.,Ear Infections,Clinical Notes,reexamine tympanic membrane after initial treatment and cleaning to assess integrity ear infections clinical notes
Purulent exudate present in vertical canal (AD - right ear); sample collected for culture and sensitivity.,Ear Infections,Clinical Notes,purulent exudate present in vertical canal ad right ear sample collected for culture and sensitivity ear infections clinical notes
Robert Jones bandage applied for temporary stabilization of tibial fracture.,Mobility Problems,Clinical Notes,robert jones bandage applied for temporary stabilization of tibial fracture mobility problems clinical notes
My cat has developed a lump that feels fatty under the skin.,Skin Irritations,Owner Observation,my cat has developed a lump that feels fatty under the skin skin irritations owner observation
Rabbit has developed urine scald from inability to posture correctly.,Mobility Problems,Owner Observation,rabbit has developed urine scald from inability to posture correctly mobility problems owner observation
"Recommend environmental flea treatment (vacuuming, washing bedding, premise spray).",Parasites,Clinical Notes,recommend environmental flea treatment vacuuming washing bedding premise spray parasites clinical notes
Fecal microbiota transplantation (FMT) discussed as option for refractory chronic diarrhea.,Digestive Issues,Clinical Notes,fecal microbiota transplantation fmt discussed as option for refractory chronic diarrhea digestive issues clinical notes
Cat is irritable or aggressive when touched in certain areas.,Mobility Problems,Owner Observation,cat is irritable or aggressive when touched in certain areas mobility problems owner observation
"Dog has chronic ear infections, vet mentioned allergies.",Ear Infections,Owner Observation,dog has chronic ear infections vet mentioned allergies ear infections owner observation
Referral to internal medicine specialist recommended for complex chronic enteropathy.,Digestive Issues,Clinical Notes,referral to internal medicine specialist recommended for complex chronic enteropathy digestive issues clinical notes
Puppy whimpers if I gently squeeze the base of his ear.,Ear Infections,Owner Observation,puppy whimpers if i gently squeeze the base of his ear ear infections owner observation
Prescribe metronidazole for suspected bacterial overgrowth/colitis.,Digestive Issues,Clinical Notes,prescribe metronidazole for suspected bacterial overgrowthcolitis digestive issues clinical notes
"Ferret has ear mites, visible as dark debris.",Parasites,Owner Observation,ferret has ear mites visible as dark debris parasites owner observation
Hind limb lameness; check for meniscal injury.,Mobility Problems,Clinical Notes,hind limb lameness check for meniscal injury mobility problems clinical notes
Rule out stress colitis as contributing factor.,Digestive Issues,Clinical Notes,rule out stress colitis as contributing factor digestive issues clinical notes
Consider laser therapy to reduce inflammation.,Ear Infections,Clinical Notes,consider laser therapy to reduce inflammation ear infections clinical notes
Performed deep ear flush under sedation. Removed large amount of debris.,Ear Infections,Clinical Notes,performed deep ear flush under sedation removed large amount of debris ear infections clinical notes
Guinea pig's back legs seem completely limp.,Mobility Problems,Owner Observation,guinea pigs back legs seem completely limp mobility problems owner observation
Perform follow-up cytology at recheck to confirm resolution of infection.,Ear Infections,Clinical Notes,perform followup cytology at recheck to confirm resolution of infection ear infections clinical notes
My guinea pig’s sides are red and scabby.,Skin Irritations,Owner Observation,my guinea pig’s sides are red and scabby skin irritations owner observation
My puppy walks stiffly for the first few steps after waking up.,Mobility Problems,Owner Observation,my puppy walks stiffly for the first few steps after waking up mobility problems owner observation
Ferret has itchy skin and some hair loss on its tail.,Skin Irritations,Owner Observation,ferret has itchy skin and some hair loss on its tail skin irritations owner observation
My puppy's littermates also have ear problems.,Ear Infections,Owner Observation,my puppys littermates also have ear problems ear infections owner observation
My cat's eyes are darting back and forth rapidly.,Ear Infections,Owner Observation,my cats eyes are darting back and forth rapidly ear infections owner observation
My dog walks with his back arched upwards.,Mobility Problems,Owner Observation,my dog walks with his back arched upwards mobility problems owner observation
Baseline cortisol low; ACTH stimulation test confirms Addison's condition. Initiate DOCP and prednisone.,Digestive Issues,Clinical Notes,baseline cortisol low acth stimulation test confirms addisons condition initiate docp and prednisone digestive issues clinical notes
"Dog's limp is worse after resting (e.g., morning stiffness).",Mobility Problems,Owner Observation,dogs limp is worse after resting eg morning stiffness mobility problems owner observation
"History of potential toxin exposure (e.g., antifreeze, rodenticide, human medications). Advise immediate evaluation.",Digestive Issues,Clinical Notes,history of potential toxin exposure eg antifreeze rodenticide human medications advise immediate evaluation digestive issues clinical notes
Cat is excessively grooming her front legs.,Skin Irritations,Owner Observation,cat is excessively grooming her front legs skin irritations owner observation
My puppy got something stuck in his ear (grass seed?).,Ear Infections,Owner Observation,my puppy got something stuck in his ear grass seed ear infections owner observation
My dog's skin turns red and blotchy after walks in the grass.,Skin Irritations,Owner Observation,my dogs skin turns red and blotchy after walks in the grass skin irritations owner observation
Tick panel (4Dx) positive for Borrelia burgdorferi (Lyme) antibodies. Clinical signs consistent with Lyme nephritis/arthritis.,Mobility Problems,Clinical Notes,tick panel dx positive for borrelia burgdorferi lyme antibodies clinical signs consistent with lyme nephritisarthritis mobility problems clinical notes
Serum folate and cobalamin levels submitted to assess small intestinal absorptive function.,Digestive Issues,Clinical Notes,serum folate and cobalamin levels submitted to assess small intestinal absorptive function digestive issues clinical notes
"Rule out autoimmune condition (e.g., pemphigus) causing pinnal lesions.",Ear Infections,Clinical Notes,rule out autoimmune condition eg pemphigus causing pinnal lesions ear infections clinical notes
Dog has intense itching primarily at night.,Skin Irritations,Owner Observation,dog has intense itching primarily at night skin irritations owner observation
"Differentials for head shaking: Otitis (externa, media), foreign body, polyp, mites, allergy, neurological condition.",Ear Infections,Clinical Notes,differentials for head shaking otitis externa media foreign body polyp mites allergy neurological condition ear infections clinical notes
My dog has bone cancer causing severe leg pain.,Mobility Problems,Owner Observation,my dog has bone cancer causing severe leg pain mobility problems owner observation
"Cytology AS (left ear): Yeast (Malassezia) ++++, Cocci ++, Rods 0. Neutrophils ++.",Ear Infections,Clinical Notes,cytology as left ear yeast malassezia cocci rods neutrophils ear infections clinical notes
Provide owner with feeding tube care instructions.,Digestive Issues,Clinical Notes,provide owner with feeding tube care instructions digestive issues clinical notes
"Acute moist dermatitis (hot spot) on left hip; clip, clean, apply topical steroid/antibiotic.",Skin Irritations,Clinical Notes,acute moist dermatitis hot spot on left hip clip clean apply topical steroidantibiotic skin irritations clinical notes
Ferret is vomiting shortly after every meal.,Digestive Issues,Owner Observation,ferret is vomiting shortly after every meal digestive issues owner observation
"My dog has recurring ear problems, especially after swimming.",Ear Infections,Owner Observation,my dog has recurring ear problems especially after swimming ear infections owner observation
Clip hair around lesions to facilitate topical treatment.,Skin Irritations,Clinical Notes,clip hair around lesions to facilitate topical treatment skin irritations clinical notes
"Cat has been chewing her hind legs, leaving raw spots.",Skin Irritations,Owner Observation,cat has been chewing her hind legs leaving raw spots skin irritations owner observation
